,mean,std_dev,m,b,f_stat,p_val,r_squared,sig_p,sig_R,positive_trend
fake_title_subjectivity,0.564962345,0.264345795,2.46E-06,0.547800177,23.80007625,1.08E-06,0.001706368,TRUE,FALSE,TRUE
fake_title_polarity,0.319619104,0.252433322,9.50E-07,0.31300327,4.505388944,0.033805809,0.000323465,TRUE,FALSE,TRUE
fake_title_unique,0.970925228,0.045393271,-5.33E-07,0.974636508,26.88461132,2.19E-07,0.00192709,TRUE,FALSE,FALSE
fake_title_profanity,0.122680025,0.16494734,-2.13E-06,0.13752745,32.98477421,9.48E-09,0.002363317,TRUE,FALSE,FALSE
fake_text_subjcetivity,0.458068664,0.103013792,-3.15E-07,0.46025947,0.226310741,0.634280418,1.63E-05,FALSE,FALSE,FALSE
fake_text_polarity,0.098955254,0.095022153,-1.12E-06,0.106732602,31.81656944,1.73E-08,0.002279807,TRUE,FALSE,FALSE
fake_text_unique,0.560234452,0.111149814,-2.54E-06,0.577895098,127.8327848,1.64E-29,0.009097232,TRUE,FALSE,FALSE
fake_text_profanity,0.069378985,0.133499163,-9.69E-07,0.076128104,7.617054072,0.005789445,0.000546746,TRUE,FALSE,FALSE
real_title_subjectivity,0.437751933,0.240374611,-8.60E-06,0.468310764,31.38936856,2.19E-08,0.00439603,TRUE,FALSE,FALSE
real_title_polarity,0.253992254,0.19342269,-6.92E-06,0.278602444,42.02085161,9.63E-11,0.005876203,TRUE,FALSE,FALSE
real_title_unique,0.990396871,0.028224814,-2.07E-07,0.991132938,1.51669639,0.21816085,0.000213303,FALSE,FALSE,FALSE
real_title_profanity,0.05170037,0.071456619,8.12E-07,0.048814756,1.849887384,0.173839621,0.00026015,FALSE,FALSE,TRUE
real_text_subjectivity,0.376873583,0.10107266,-8.00E-06,0.405300515,188.274171,2.61E-42,0.025800616,TRUE,FALSE,FALSE
real_text_polarity,0.086308807,0.075682614,-4.87E-06,0.103628554,120.603606,7.80E-28,0.016681911,TRUE,FALSE,FALSE
real_text_unique,0.559516681,0.107043308,5.20E-06,0.541041757,93.72466333,4.96E-22,0.01301239,TRUE,FALSE,TRUE
real_text_profanity,0.012164463,0.022077492,-1.90E-08,0.012231832,1.271157967,0.25958761,0.000178778,FALSE,FALSE,FALSE
